"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GCN11",7.41270523219611e-11,0.185413683812563,0.215,0.162,1.9452421070329e-06,"Retinal progenitors","GCN1"
"AC110285.61",7.75286790274046e-11,0.663024455892201,0.046,0.025,2.03450759503715e-06,"Retinal progenitors","AC110285.6"
"INSR1",7.86684048542696e-11,0.104310125985981,0.594,0.51,2.06441628018574e-06,"Retinal progenitors","INSR"
"SLC35D21",8.05914818962512e-11,0.494133283837638,0.062,0.036,2.11488166792142e-06,"Retinal progenitors","SLC35D2"
"SRSF13",8.08637957263882e-11,0.442517946202708,0.063,0.037,2.12202772745188e-06,"Retinal progenitors","SRSF1"
"TSPAN81",8.24307312564679e-11,0.618152440172352,0.035,0.017,2.16314724963223e-06,"Retinal progenitors","TSPAN8"
"HEATR11",8.64199999352696e-11,0.12595661981353,0.241,0.184,2.26783363830134e-06,"Retinal progenitors","HEATR1"
"GSTO21",9.05623782938547e-11,0.19220156020589,0.09,0.057,2.37653793118733e-06,"Retinal progenitors","GSTO2"
"LINC01494",9.06649893378759e-11,0.589385623489293,0.036,0.018,2.37923065020454e-06,"Retinal progenitors","LINC01494"
"C10orf88",9.10015403702332e-11,0.333114856114798,0.108,0.072,2.38806242239566e-06,"Retinal progenitors","C10orf88"
"OSER11",9.12691096918844e-11,0.279781795113795,0.065,0.038,2.39508397653443e-06,"Retinal progenitors","OSER1"
"LIPE",9.22785651791744e-11,0.284011221750481,0.105,0.069,2.42157410743189e-06,"Retinal progenitors","LIPE"
"RSAD21",9.36347502322932e-11,0.504283878788755,0.035,0.017,2.45716311559584e-06,"Retinal progenitors","RSAD2"
"BCL2L2-PABPN12",9.36797989302439e-11,0.234490142577747,0.121,0.083,2.45834528352746e-06,"Retinal progenitors","BCL2L2-PABPN1"
"ACLY1",9.49243279234903e-11,0.127894537690877,0.266,0.209,2.49100421336823e-06,"Retinal progenitors","ACLY"
"AC018645.2",9.71636493578801e-11,0.957710495457775,0.021,0.008,2.54976848644949e-06,"Retinal progenitors","AC018645.2"
"SSH11",9.97759346614713e-11,0.202726872337112,0.243,0.188,2.61832007738633e-06,"Retinal progenitors","SSH1"
"ANKHD1-EIF4EBP3",9.990732920359e-11,0.415246802974128,0.098,0.064,2.62176813296061e-06,"Retinal progenitors","ANKHD1-EIF4EBP3"
"ACKR3",1.0234214766334e-10,0.657427711097707,0.049,0.027,2.68566263898138e-06,"Retinal progenitors","ACKR3"
"PAQR41",1.02701794860483e-10,0.324164759441765,0.068,0.04,2.69510050072879e-06,"Retinal progenitors","PAQR4"
"MICAL21",1.03836045054123e-10,1.10315844539316,0.031,0.014,2.7248654943103e-06,"Retinal progenitors","MICAL2"
"TPST21",1.04234791757426e-10,0.423415923513507,0.097,0.064,2.73532940529838e-06,"Retinal progenitors","TPST2"
"ADCY71",1.05347020760387e-10,0.438579959015358,0.128,0.09,2.76451651879407e-06,"Retinal progenitors","ADCY7"
"RFTN21",1.05975366752456e-10,0.20411737888731,0.122,0.083,2.78100557431794e-06,"Retinal progenitors","RFTN2"
"UMPS2",1.0602598154192e-10,0.246501552042071,0.138,0.097,2.78233380762306e-06,"Retinal progenitors","UMPS"
"BRIX12",1.07023721383789e-10,0.392042326285187,0.07,0.042,2.8085164965534e-06,"Retinal progenitors","BRIX1"
"PGS11",1.07150829616808e-10,0.138406266051382,0.143,0.1,2.81185207080427e-06,"Retinal progenitors","PGS1"
"EFNB11",1.07687025345483e-10,0.38903512218374,0.056,0.032,2.82592291911618e-06,"Retinal progenitors","EFNB1"
"TYW52",1.0843884111581e-10,0.236230141319848,0.159,0.114,2.84565206856109e-06,"Retinal progenitors","TYW5"
"AL158801.3",1.10098874045658e-10,0.284433497466852,0.094,0.06,2.88921465270616e-06,"Retinal progenitors","AL158801.3"
"ELOVL2-AS1",1.11380549362175e-10,1.00784442501467,0.014,0.004,2.9228483763622e-06,"Retinal progenitors","ELOVL2-AS1"
"PRPF4",1.1149777355496e-10,0.213626582604819,0.108,0.072,2.92592457362926e-06,"Retinal progenitors","PRPF4"
"PLGRKT",1.11589330828547e-10,0.132861667466003,0.136,0.095,2.92832721960273e-06,"Retinal progenitors","PLGRKT"
"AC109460.2",1.15116876767537e-10,0.514391367959791,0.06,0.035,3.0208970801337e-06,"Retinal progenitors","AC109460.2"
"FBXL19-AS11",1.15326832967153e-10,0.431057328832292,0.043,0.022,3.02640675072402e-06,"Retinal progenitors","FBXL19-AS1"
"C9orf40",1.16942307274407e-10,0.322895286832208,0.037,0.018,3.068800027495e-06,"Retinal progenitors","C9orf40"
"COL22A11",1.17497313036119e-10,0.754753048821347,0.032,0.015,3.08336448869384e-06,"Retinal progenitors","COL22A1"
"MAVS1",1.18091238198254e-10,0.144673953653335,0.169,0.122,3.09895027279859e-06,"Retinal progenitors","MAVS"
"STAT6",1.20227052667334e-10,0.585173071854964,0.161,0.12,3.15499831609618e-06,"Retinal progenitors","STAT6"
"AC124893.12",1.21907659397785e-10,0.735013704352379,0.033,0.016,3.19910079791667e-06,"Retinal progenitors","AC124893.1"
"MTMR91",1.23116685420793e-10,0.100236219662329,0.29,0.23,3.23082805881245e-06,"Retinal progenitors","MTMR9"
"RNF26",1.23434696677301e-10,0.543135614854005,0.018,0.006,3.23917331020574e-06,"Retinal progenitors","RNF26"
"ZNF8392",1.24624343937759e-10,0.188704407760672,0.13,0.09,3.27039203361467e-06,"Retinal progenitors","ZNF839"
"AC097537.11",1.27372854777723e-10,0.308493441621411,0.11,0.074,3.34251845507701e-06,"Retinal progenitors","AC097537.1"
